Player,Shot_Number,Shot_Type,Start_Frame,End_Frame,Duration_Seconds,Max_Racket_Velocity_px_s,Avg_Racket_Velocity_px_s,Min_Hip_Knee_Angle_deg,Avg_Hip_Knee_Angle_deg,Min_Elbow_Angle_deg,Avg_Elbow_Angle_deg,Avg_Torso_Angle_deg,CoG_Horizontal_Movement_px,CoG_Vertical_Movement_px
Player_1,53,Forehand,2286,2291,0.17,1093.25,629.12,161.58,168.62,100.54,111.67,177.4,27.98,8.13
Player_1,54,Backhand,2294,2295,0.03,331.28,165.64,170.12,170.59,83.23,83.8,176.26,4.74,3.16
Player_1,55,Forehand,2421,2422,0.03,409.94,204.97,168.0,169.16,124.02,124.72,163.53,2.3,0.47
Player_1,56,Forehand,2452,2453,0.03,171.57,85.79,160.56,161.4,121.53,121.71,168.47,1.18,0.87
Player_1,57,Forehand,2726,2729,0.1,6736.28,1943.01,177.67,178.79,97.42,137.31,175.08,11.65,10.33
Player_1,58,Forehand,2730,2733,0.1,1348.21,683.04,175.99,176.99,130.41,142.96,177.3,14.98,24.44
Player_1,59,Forehand,2743,2746,0.1,796.71,400.35,176.08,177.8,128.99,135.34,177.34,13.9,12.22
Player_1,60,Forehand,2753,2754,0.03,362.51,181.25,177.38,177.74,154.53,158.08,178.4,0.33,0.86
Player_1,61,Forehand,2797,2804,0.23,704.14,498.43,164.66,173.44,131.04,154.79,178.06,15.41,11.13
Player_1,62,Forehand,2812,2814,0.07,671.92,328.57,172.06,172.96,160.83,165.11,175.72,14.66,13.52
Player_1,63,Forehand,2831,2835,0.13,836.61,494.41,175.07,176.27,123.83,149.37,177.86,1.6,6.44
Player_1,64,Forehand,2851,2854,0.1,2190.39,836.76,172.12,173.78,139.46,153.98,176.29,6.45,2.82
Player_1,65,Forehand,3051,3052,0.03,258.97,129.48,169.22,173.15,123.64,125.31,169.11,2.28,14.36
Player_1,66,Forehand,3060,3062,0.07,978.61,463.23,170.15,172.1,144.24,148.21,162.53,1.27,4.34
Player_1,67,Backhand,3064,3066,0.07,616.26,336.57,170.16,170.69,155.56,157.65,160.82,2.28,0.73
Player_1,68,Backhand,3073,3080,0.23,2453.3,1061.48,163.15,167.69,150.87,153.92,163.69,11.1,7.42
Player_1,69,Backhand,3153,3157,0.13,1553.86,750.16,172.44,175.37,141.82,147.05,168.15,7.29,8.55
Player_1,70,Backhand,3159,3160,0.03,273.99,136.99,171.03,171.86,150.73,151.76,162.05,0.49,0.03
Player_1,71,Backhand,3161,3163,0.07,1900.9,723.19,169.28,175.05,155.37,156.73,162.69,13.59,6.53
Player_1,72,Backhand,3165,3176,0.37,2586.68,964.77,161.97,169.38,139.94,147.03,165.16,14.78,14.75
Player_1,73,Backhand,3251,3253,0.07,1993.9,730.94,171.03,176.53,152.28,160.67,170.39,15.61,6.12
Player_1,74,Backhand,3255,3258,0.1,1013.71,503.98,167.35,168.4,160.94,162.79,160.18,1.43,6.12
